n_rows,n_sources,n_genes,n_species,n_label_sets,sources,genes,label_sets,sequence_length
6,6,1,1,6,Biever2020_dual_location_transcript_sequences;June2023_bulk_only_not_in_strict_axon_ribosome_transcript_sequences;Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences;mart_mouse_rat_localization_transcript_sequences,Grin2b,"Axon;Cell_body;Cell_body,Cytoplasm;Cell_body,Dendrite,Neurite,Synap;Cell_body,Neuropil,Ribosome;Synap",24238
6,6,1,1,6,Biever2020_dual_location_transcript_sequences;June2023_bulk_only_not_in_strict_axon_ribosome_transcript_sequences;Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences;Shigeoka2016_axon_ribosome_transcript_sequences,Ndufb9,"Axon,Ribosome;Cell_body;Cell_body,Ribosome;Dendrite;Neurite;Synap",4234
6,6,1,1,6,Biever2020_dual_location_transcript_sequences;June2023_strict_axon_ribosome_transcript_sequences;Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences;mart_mouse_rat_localization_transcript_sequences,Fscn1,"Axon,Ribosome;Cell_body;Cell_body,Cytoplasm;Cell_body,Neuropil,Ribosome;Cell_body,Ribosome;Ribosome",2688
6,6,1,1,6,Biever2020_dual_location_transcript_sequences;Gork2021_bulk_transcript_sequences;June2023_bulk_only_not_in_strict_axon_ribosome_transcript_sequences;Loedige2023_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences;mart_mouse_rat_localization_transcript_sequences,Gria2,"Axon;Axon,Synap;Cell_body;Cell_body,Cytoplasm;Cell_body,Neuropil,Ribosome;Synap",10767
6,6,1,1,6,Biever2020_dual_location_transcript_sequences;Gork2021_bulk_transcript_sequences;June2023_bulk_only_not_in_strict_axon_ribosome_transcript_sequences;Loedige2023_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences;Shigeoka2016_axon_ribosome_transcript_sequences,Disp2,"Axon;Axon,Ribosome;Cell_body;Cell_body,Cytoplasm;Cell_body,Neuropil,Ribosome;Synap",7151
6,6,1,1,6,Biever2020_dual_location_transcript_sequences;June2023_bulk_only_not_in_strict_axon_ribosome_transcript_sequences;Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences;Shigeoka2016_axon_ribosome_transcript_sequences,Tenm3,"Axon;Axon,Ribosome;Cell_body;Cell_body,Cytoplasm;Cell_body,Neuropil,Ribosome;Synap",10970
6,6,1,1,6,Biever2020_dual_location_transcript_sequences;Gork2021_bulk_transcript_sequences;June2023_bulk_only_not_in_strict_axon_ribosome_transcript_sequences;Loedige2023_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences;Shigeoka2016_axon_ribosome_transcript_sequences,Sez6l2,"Axon;Axon,Ribosome;Cell_body;Cell_body,Cytoplasm;Cell_body,Neuropil,Ribosome;Synap",4967
6,6,1,1,6,Biever2020_dual_location_transcript_sequences;June2023_bulk_only_not_in_strict_axon_ribosome_transcript_sequences;Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences;Shigeoka2016_axon_ribosome_transcript_sequences,Csmd2,"Axon;Axon,Ribosome;Cell_body;Cell_body,Cytoplasm;Cell_body,Neuropil,Ribosome;Synap",13555
7,7,1,1,5,Biever2020_bulk_only_not_in_dual_transcript_sequences;Gork2021_bulk_transcript_sequences;June2023_bulk_only_not_in_strict_axon_ribosome_transcript_sequences;Loedige2023_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences;Shigeoka2016_axon_ribosome_transcript_sequences;mart_mouse_rat_localization_transcript_sequences,Lingo1,"Axon;Axon,Ribosome;Cell_body;Cell_body,Cytoplasm;Synap",6838
6,6,1,1,5,Biever2020_dual_location_transcript_sequences;Gork2021_bulk_transcript_sequences;June2023_bulk_only_not_in_strict_axon_ribosome_transcript_sequences;Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences,Atp1b1,"Axon;Cell_body;Cell_body,Cytoplasm;Cell_body,Neuropil,Ribosome;Synap",3387
6,6,1,1,5,Biever2020_dual_location_transcript_sequences;Gork2021_bulk_transcript_sequences;June2023_bulk_only_not_in_strict_axon_ribosome_transcript_sequences;Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences,Celsr2,"Axon;Cell_body;Cell_body,Cytoplasm;Cell_body,Neuropil,Ribosome;Synap",11127
6,6,1,1,5,Biever2020_dual_location_transcript_sequences;Gork2021_bulk_transcript_sequences;June2023_bulk_only_not_in_strict_axon_ribosome_transcript_sequences;Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences,Gabra1,"Axon;Cell_body;Cell_body,Cytoplasm;Cell_body,Neuropil,Ribosome;Synap",4920
6,6,1,1,5,Biever2020_dual_location_transcript_sequences;Gork2021_bulk_transcript_sequences;June2023_bulk_only_not_in_strict_axon_ribosome_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences;Shigeoka2016_axon_ribosome_transcript_sequences,Dlg3,"Axon;Axon,Ribosome;Cell_body;Cell_body,Ribosome;Neuropil,Ribosome",5598
6,6,1,1,5,Biever2020_dual_location_transcript_sequences;Gork2021_bulk_transcript_sequences;June2023_bulk_only_not_in_strict_axon_ribosome_transcript_sequences;Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences,Gabrb2,"Axon;Cell_body;Cell_body,Cytoplasm;Neuropil,Ribosome;Synap",7783
6,6,1,1,5,Biever2020_dual_location_transcript_sequences;Gork2021_bulk_transcript_sequences;Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences;Shigeoka2016_axon_ribosome_transcript_sequences,Dync1i1,"Axon,Ribosome;Cell_body;Cell_body,Cytoplasm;Cell_body,Ribosome;Neuropil,Ribosome",4180
6,6,1,1,5,Biever2020_dual_location_transcript_sequences;June2023_bulk_only_not_in_strict_axon_ribosome_transcript_sequences;Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences;Shigeoka2016_axon_ribosome_transcript_sequences,Arl6ip5,"Axon,Ribosome;Cell_body;Cell_body,Cytoplasm;Cell_body,Ribosome;Synap",2935
6,6,1,1,5,Biever2020_dual_location_transcript_sequences;Gork2021_bulk_transcript_sequences;June2023_bulk_only_not_in_strict_axon_ribosome_transcript_sequences;Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences,Atp2b1,"Axon;Cell_body;Cell_body,Cytoplasm;Cell_body,Neuropil,Ribosome;Synap",8511
6,6,1,1,5,Biever2020_dual_location_transcript_sequences;Gork2021_bulk_transcript_sequences;Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences;Shigeoka2016_axon_ribosome_transcript_sequences,Scg2,"Axon,Ribosome;Cell_body;Cell_body,Cytoplasm;Neuropil,Ribosome;Synap",2515
6,6,1,1,5,Biever2020_dual_location_transcript_sequences;Gork2021_bulk_transcript_sequences;June2023_bulk_only_not_in_strict_axon_ribosome_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences;Shigeoka2016_axon_ribosome_transcript_sequences,Ina,"Axon;Axon,Ribosome;Cell_body;Cell_body,Ribosome;Neuropil,Ribosome",3307
6,6,1,1,5,Biever2020_dual_location_transcript_sequences;Gork2021_bulk_transcript_sequences;Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences;Shigeoka2016_axon_ribosome_transcript_sequences,Nsf,"Axon,Ribosome;Cell_body;Cell_body,Cytoplasm;Cell_body,Neuropil,Ribosome;Cell_body,Ribosome",4909
6,6,1,1,5,Biever2020_dual_location_transcript_sequences;Gork2021_bulk_transcript_sequences;June2023_bulk_only_not_in_strict_axon_ribosome_transcript_sequences;Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences,Shisa7,"Axon;Cell_body;Cell_body,Cytoplasm;Cell_body,Neuropil,Ribosome;Synap",7061
6,6,1,1,5,Biever2020_dual_location_transcript_sequences;Gork2021_bulk_transcript_sequences;June2023_bulk_only_not_in_strict_axon_ribosome_transcript_sequences;Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences,Slitrk4,"Axon;Cell_body;Cell_body,Cytoplasm;Cell_body,Neuropil,Ribosome;Synap",11202
6,6,1,1,5,Gork2021_bulk_transcript_sequences;June2023_bulk_only_not_in_strict_axon_ribosome_transcript_sequences;Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences;Shigeoka2016_axon_ribosome_transcript_sequences,Gpr12,"Axon;Axon,Ribosome;Cell_body;Cell_body,Cytoplasm;Synap",5793
6,6,1,1,5,Biever2020_dual_location_transcript_sequences;Gork2021_bulk_transcript_sequences;June2023_bulk_only_not_in_strict_axon_ribosome_transcript_sequences;Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences,Dnm1,"Axon;Cell_body;Cell_body,Cytoplasm;Cell_body,Neuropil,Ribosome;Cell_body,Ribosome",6305
6,6,1,1,5,Biever2020_dual_location_transcript_sequences;Gork2021_bulk_transcript_sequences;June2023_bulk_only_not_in_strict_axon_ribosome_transcript_sequences;Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences,Gria1,"Axon;Cell_body;Cell_body,Cytoplasm;Neuropil,Ribosome;Synap",6153
6,6,1,1,5,Biever2020_dual_location_transcript_sequences;Gork2021_bulk_transcript_sequences;June2023_bulk_only_not_in_strict_axon_ribosome_transcript_sequences;Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences,Nsg1,"Axon;Cell_body;Cell_body,Cytoplasm;Cell_body,Ribosome;Synap",2581
6,6,1,1,5,Biever2020_dual_location_transcript_sequences;Gork2021_bulk_transcript_sequences;Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences;Shigeoka2016_axon_ribosome_transcript_sequences,Sez6,"Axon,Ribosome;Cell_body;Cell_body,Cytoplasm;Cell_body,Neuropil,Ribosome;Synap",4962
6,6,1,1,5,Biever2020_dual_location_transcript_sequences;Gork2021_bulk_transcript_sequences;Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences;mart_mouse_rat_localization_transcript_sequences,Shank3,"Cell_body,Ribosome;Dendrite;Neurite;Neuropil;Ribosome,Synap",7365
6,6,1,1,5,Biever2020_dual_location_transcript_sequences;Gork2021_bulk_transcript_sequences;June2023_bulk_only_not_in_strict_axon_ribosome_transcript_sequences;Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences,St3gal5,"Axon;Cell_body;Cell_body,Cytoplasm;Cell_body,Neuropil,Ribosome;Synap",4215
6,6,1,1,5,Biever2020_dual_location_transcript_sequences;Gork2021_bulk_transcript_sequences;June2023_bulk_only_not_in_strict_axon_ribosome_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences;Shigeoka2016_axon_ribosome_transcript_sequences,Adcy9,"Axon;Axon,Ribosome;Cell_body;Cell_body,Ribosome;Synap",8038
6,6,1,1,5,Biever2020_dual_location_transcript_sequences;Gork2021_bulk_transcript_sequences;June2023_bulk_only_not_in_strict_axon_ribosome_transcript_sequences;Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences,Slitrk5,"Axon;Cell_body;Cell_body,Cytoplasm;Neuropil,Ribosome;Synap",8381
6,6,1,1,5,Biever2020_dual_location_transcript_sequences;Gork2021_bulk_transcript_sequences;June2023_bulk_only_not_in_strict_axon_ribosome_transcript_sequences;Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences,Acsl4,"Axon;Cell_body;Cell_body,Cytoplasm;Cell_body,Neuropil,Ribosome;Synap",5762
6,6,1,1,5,Biever2020_dual_location_transcript_sequences;Gork2021_bulk_transcript_sequences;June2023_strict_axon_ribosome_transcript_sequences;Loedige2023_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences;Shigeoka2016_axon_ribosome_transcript_sequences,Ppp1r9b,"Axon,Ribosome;Neurite;Neuropil;Neuropil,Ribosome;Ribosome,Synap",4624
6,6,1,1,5,Biever2020_dual_location_transcript_sequences;Gork2021_bulk_transcript_sequences;June2023_strict_axon_ribosome_transcript_sequences;Loedige2023_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences;Shigeoka2016_axon_ribosome_transcript_sequences,Cx3cl1,"Axon,Ribosome;Cell_body;Cell_body,Cytoplasm;Cell_body,Neuropil,Ribosome;Synap",3317
6,6,1,1,5,Biever2020_dual_location_transcript_sequences;Gork2021_bulk_transcript_sequences;June2023_bulk_only_not_in_strict_axon_ribosome_transcript_sequences;Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences,Atl1,"Axon;Cell_body;Cell_body,Cytoplasm;Neuropil,Ribosome;Synap",6025
6,6,1,1,5,Biever2020_dual_location_transcript_sequences;Gork2021_bulk_transcript_sequences;June2023_bulk_only_not_in_strict_axon_ribosome_transcript_sequences;Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences,L1cam,"Axon;Cell_body;Cell_body,Cytoplasm;Cell_body,Neuropil,Ribosome;Synap",5575
6,6,1,1,5,Biever2020_dual_location_transcript_sequences;Gork2021_bulk_transcript_sequences;June2023_bulk_only_not_in_strict_axon_ribosome_transcript_sequences;Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences,Nptn,"Axon;Cell_body;Cell_body,Cytoplasm;Cell_body,Ribosome;Synap",6971
6,6,1,1,5,Biever2020_dual_location_transcript_sequences;Gork2021_bulk_transcript_sequences;June2023_bulk_only_not_in_strict_axon_ribosome_transcript_sequences;Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences,Cacna2d1,"Axon;Cell_body;Cell_body,Cytoplasm;Cell_body,Neuropil,Ribosome;Synap",9016
6,6,1,1,5,Biever2020_dual_location_transcript_sequences;Gork2021_bulk_transcript_sequences;Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences;Shigeoka2016_axon_ribosome_transcript_sequences,Syp,"Axon,Ribosome;Cell_body;Cell_body,Cytoplasm;Cell_body,Neuropil,Ribosome;Synap",2843
6,6,1,1,5,Biever2020_dual_location_transcript_sequences;Gork2021_bulk_transcript_sequences;Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences;Shigeoka2016_axon_ribosome_transcript_sequences,Tusc3,"Axon,Ribosome;Cell_body;Cell_body,Cytoplasm;Cell_body,Ribosome;Synap",6016
5,5,1,1,5,Biever2020_dual_location_transcript_sequences;Gork2021_bulk_transcript_sequences;June2023_bulk_only_not_in_strict_axon_ribosome_transcript_sequences;Loedige2023_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences,Brinp1,"Axon;Cell_body;Cell_body,Cytoplasm;Neuropil,Ribosome;Synap",6001
5,5,1,1,5,Biever2020_dual_location_transcript_sequences;June2023_strict_axon_ribosome_transcript_sequences;Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences,Stx1a,"Axon,Ribosome;Cell_body;Cell_body,Neuropil,Ribosome;Cell_body,Ribosome;Neurite",2366
5,5,1,1,5,Biever2020_dual_location_transcript_sequences;June2023_bulk_only_not_in_strict_axon_ribosome_transcript_sequences;Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences,Ambra1,"Axon;Cell_body;Cell_body,Cytoplasm;Cell_body,Neuropil,Ribosome;Cell_body,Ribosome",5480
5,5,1,1,5,Gork2021_bulk_transcript_sequences;June2023_bulk_only_not_in_strict_axon_ribosome_transcript_sequences;Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences,Gabra4,"Axon;Cell_body;Cell_body,Cytoplasm;Dendrite;Synap",5119
5,5,1,1,5,Biever2020_dual_location_transcript_sequences;Gork2021_bulk_transcript_sequences;June2023_bulk_only_not_in_strict_axon_ribosome_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences;Shigeoka2016_axon_ribosome_transcript_sequences,Scn8a,"Axon;Axon,Ribosome;Cell_body;Cell_body,Neuropil,Ribosome;Synap",11444
5,5,1,1,5,Biever2020_dual_location_transcript_sequences;June2023_bulk_only_not_in_strict_axon_ribosome_transcript_sequences;Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences,Caly,"Axon;Cell_body;Cell_body,Cytoplasm;Cell_body,Neuropil,Ribosome;Synap",4821
5,5,1,1,5,Gork2021_bulk_transcript_sequences;June2023_bulk_only_not_in_strict_axon_ribosome_transcript_sequences;Loedige2023_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences;Shigeoka2016_axon_ribosome_transcript_sequences,Grin1,"Axon;Axon,Ribosome;Cell_body;Cell_body,Cytoplasm;Synap",5493
5,5,1,1,5,Biever2020_dual_location_transcript_sequences;Gork2021_bulk_transcript_sequences;June2023_strict_axon_ribosome_transcript_sequences;Loedige2023_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences,Garem2,"Axon,Ribosome;Neurite;Neuropil;Neuropil,Ribosome;Ribosome,Synap",6384
5,5,1,1,5,Biever2020_dual_location_transcript_sequences;June2023_bulk_only_not_in_strict_axon_ribosome_transcript_sequences;Loedige2023_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences;Shigeoka2016_axon_ribosome_transcript_sequences,Kif5a,"Axon;Axon,Ribosome;Cell_body,Neuropil,Ribosome;Neurite;Synap",7077
5,5,1,1,5,June2023_bulk_only_not_in_strict_axon_ribosome_transcript_sequences;Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences;Shigeoka2016_axon_ribosome_transcript_sequences,Adcyap1r1,"Axon;Axon,Ribosome;Cell_body;Cell_body,Cytoplasm;Synap",6881
5,5,1,1,5,Biever2020_dual_location_transcript_sequences;Gork2021_bulk_transcript_sequences;June2023_bulk_only_not_in_strict_axon_ribosome_transcript_sequences;Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences,Scrib,"Axon;Cell_body;Cell_body,Ribosome;Neurite;Neuropil",5644
5,5,1,1,5,Biever2020_dual_location_transcript_sequences;Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences;Shigeoka2016_axon_ribosome_transcript_sequences,Serpini1,"Axon,Ribosome;Cell_body;Cell_body,Cytoplasm;Neuropil,Ribosome;Synap",4311
5,5,1,1,5,Biever2020_dual_location_transcript_sequences;Gork2021_bulk_transcript_sequences;June2023_strict_axon_ribosome_transcript_sequences;Loedige2023_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences,Git1,"Axon,Ribosome;Neurite;Neuropil;Neuropil,Ribosome;Ribosome,Synap",3918
5,5,1,1,5,Biever2020_dual_location_transcript_sequences;June2023_bulk_only_not_in_strict_axon_ribosome_transcript_sequences;Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences,Sparcl1,"Axon;Cell_body;Cell_body,Cytoplasm;Neuropil,Ribosome;Synap",4623
5,5,1,1,5,Biever2020_dual_location_transcript_sequences;June2023_bulk_only_not_in_strict_axon_ribosome_transcript_sequences;Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences,Atp2b2,"Axon;Cell_body;Cell_body,Cytoplasm;Cell_body,Ribosome;Synap",9492
5,5,1,1,5,Biever2020_dual_location_transcript_sequences;June2023_bulk_only_not_in_strict_axon_ribosome_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences;Shigeoka2016_axon_ribosome_transcript_sequences;mart_mouse_rat_localization_transcript_sequences,Nrxn1,"Axon;Axon,Ribosome;Dendrite,Synap;Neuropil,Ribosome;Synap",9759
5,5,1,1,5,Biever2020_dual_location_transcript_sequences;June2023_bulk_only_not_in_strict_axon_ribosome_transcript_sequences;Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences,Abca3,"Axon;Cell_body;Cell_body,Cytoplasm;Cell_body,Neuropil,Ribosome;Synap",7197
